id,uid,time,longitude,latitude,speed,accuracy
3156cadd-efc1-4bdb-a27c-2b15988bc9d5,t45dt57tCz,2021-12-20 15:27:03,-77.7412275,43.1189035,0.0,42.828
bd36fa9d-c47f-4669-89af-d2ee457669d9,t45dt57tCz,2021-12-21 17:22:02,-77.7411906,43.1189312,0.0,22.986
f94d53b0-2be6-4cf7-bc2d-2ae5803ed923,69Lh1Lm26H,2022-01-03 15:52:10,-78.4542539,42.0881251,0.0,14.13
8a8ae424-1474-44e0-b7ae-ff6178cdb747,69Lh1Lm26H,2021-12-29 12:51:47,-78.4542573,42.088146,0.0,20.0
ae2ee4c2-332b-45b3-badc-859cb3990d70,t45dt57tCz,2021-12-15 00:18:00,-78.795835,42.9994249,0.0,13.121
db3b7980-cf64-42a4-af12-2f24cf8764f5,69Lh1Lm26H,2022-01-02 19:52:02,-78.0503348,43.2260499,0.0,47.982
c98879f6-ed22-4c20-a95e-a779ddb90c1b,69Lh1Lm26H,2021-12-31 09:51:19,-78.4542876,42.0881117,5.336351,9.518
ec3b10a6-37b3-41f1-8ac6-32a2c7f9e2bd,69Lh1Lm26H,2022-01-01 00:48:31,-78.0761372,43.1645288,0.0,30.608
911d738c-5828-4b43-ac18-26aba9996aaa,69Lh1Lm26H,2021-12-23 16:59:52,-78.4542533,42.0881493,0.0,20.0
cc214124-4636-478e-b656-1c812d780f91,t45dt57tCz,2021-12-16 08:47:03,-78.795899,42.9994402,0.26414236,6.86
f5389790-1b73-44e6-8dbf-8a1f03ee31cd,69Lh1Lm26H,2021-12-23 12:14:06,-78.4542583,42.0881482,0.0,13.599
d10a66a3-9572-4688-a075-d756e9e17ff7,t45dt57tCz,2021-12-19 01:31:38,-77.7412213,43.1189051,0.0,39.708
92676bce-9cae-4d1f-8228-80cfc2bd9639,bUp7WizH8L,2021-12-15 03:51:37,-78.7958396,42.9994299,0.0,13.665
733a860f-7647-45e7-81af-dfaedb52aa80,bUp7WizH8L,2021-12-19 08:01:28,-78.7958468,42.9993823,0.0067016683,8.2
846f0d3e-a125-489b-a392-60656b455733,69Lh1Lm26H,2021-12-22 13:28:39,-78.4542603,42.0881463,0.0,20.1
161f9300-14d6-4d28-81f0-c04465f18004,bUp7WizH8L,2021-12-17 14:32:00,-78.7958376,42.999421,0.0,13.702
b8e7b52c-aeca-4403-b4ee-95e346098c2e,t45dt57tCz,2021-12-18 23:41:28,-77.7412275,43.1189068,0.0,35.905
