"id","uid","time","longitude","latitude","speed","accuracy"
"92676bce-9cae-4d1f-8228-80cfc2bd9639","bUp7WizH8L","2021-12-15 03:51:37",-78.7958396,42.9994299,0,13.665
"733a860f-7647-45e7-81af-dfaedb52aa80","bUp7WizH8L","2021-12-19 08:01:28",-78.7958468,42.9993823,0.0067016683,8.2
"161f9300-14d6-4d28-81f0-c04465f18004","bUp7WizH8L","2021-12-17 14:32:00",-78.7958376,42.999421,0,13.702
"216ebf2d-887e-4055-a8a9-dc74682ddbec","bUp7WizH8L","2021-12-21 09:06:25",-76.1970384,42.197408,0.057417486,8.833
"fa1aa28f-5907-450a-a9e0-5ce6119f53c6","bUp7WizH8L","2021-12-19 02:14:31",-78.795844,42.9994224,0,13.278
"764dc029-a2a2-463e-b01c-2311a039ffbe","bUp7WizH8L","2021-12-17 10:07:00",-78.7958436,42.9994673,0.17779657,8.2
"5e16dc2e-8c34-430d-a93a-cee8f526de41","bUp7WizH8L","2021-12-21 17:40:42",-76.1972027,42.197324,0,20
"91bf8c26-fa14-474f-9eef-2e534e083085","bUp7WizH8L","2021-12-16 11:13:00",-78.7958398,42.9993698,0.16305703,8
"75ec303e-593d-4707-a1cc-501605fa353e","bUp7WizH8L","2021-12-21 04:05:32",-76.1971903,42.1973107,0,24.608
"d1c51660-2ae3-40c3-8106-5085643acdcb","bUp7WizH8L","2021-12-19 12:10:28",-78.6963483,42.9488216,0,1688.619
"43541e3b-fa9b-4d90-9a1a-7401c8491900","bUp7WizH8L","2021-12-14 04:26:37",-78.7958329,42.9994274,0,12.147
"cf4599af-4b66-4060-a479-cc21bd48559a","bUp7WizH8L","2021-12-15 04:36:36",-78.7958396,42.9994299,0,13.665
"5b91c703-41f6-4274-a8eb-c416de334170","bUp7WizH8L","2021-12-16 08:52:00",-78.7958185,42.9993689,0.06205663,8.916
"9a990ba9-428e-4d96-ae48-774fd5820fff","bUp7WizH8L","2021-12-17 05:56:36",-78.795833,42.999422,0,11.688
"e7869c23-3be4-4149-9850-d3e733c7cc1d","bUp7WizH8L","2021-12-21 02:08:01",-76.1971903,42.1973107,0,24.608
"aa086ea7-958f-4c2c-bec9-a46b7194b129","bUp7WizH8L","2021-12-15 04:51:37",-78.7958396,42.9994299,0,13.665
"cbd6ba64-0483-4f31-a42b-b9b44a8f39c0","bUp7WizH8L","2021-12-15 08:21:36",-78.7958458,42.9994599,0.1648651,9.4
"77eb885d-6854-4ef1-a9d1-00a8060998b7","bUp7WizH8L","2021-12-17 13:57:48",-78.795838,42.9994226,0,13.297
