"uid","time","longitude","latitude","speed","accuracy"
"nnziInMDTH","2022-03-13 15:08:30",-77.6471661,43.178158,0,20
"nnziInMDTH","2022-03-12 02:21:50",-78.8647322,42.9840982,0,15.859
"nnziInMDTH","2022-03-11 18:17:45",-78.8647541,42.9841234,0,16.407
"nnziInMDTH","2022-03-12 20:51:47",-77.5657449,43.1884933,0,40.434
"nnziInMDTH","2022-03-11 14:57:58",-78.7862448,43.0014392,0,18.957
"nnziInMDTH","2022-03-12 12:46:18",-77.5657253,43.1884572,0,21.189
"nnziInMDTH","2022-03-11 17:10:11",-78.8647617,42.9840876,0,14.867
"nnziInMDTH","2022-03-13 14:48:40",-77.6471699,43.178159,0,20.9
"nnziInMDTH","2022-03-12 14:34:12",-77.5657155,43.1884597,0,22.331
"nnziInMDTH","2022-03-13 12:49:19",-77.5654165,43.1884275,0,29.179
"nnziInMDTH","2022-03-11 16:59:11",-78.8647661,42.9840924,0,16.077
"nnziInMDTH","2022-03-11 14:56:03",-78.7861566,43.0012877,0,22.074
"nnziInMDTH","2022-03-12 21:11:21",-77.5657516,43.1884845,0,38.729
"nnziInMDTH","2022-03-13 21:40:50",-77.6471672,43.1781611,0,20
"nnziInMDTH","2022-03-12 02:30:09",-78.8647342,42.9841116,0,16.257
"nnziInMDTH","2022-03-13 23:25:50",-78.8359638,43.0028255,0,1799.999
"nnziInMDTH","2022-03-14 00:40:53",-78.864746,42.9841044,0,15.992
"nnziInMDTH","2022-03-13 21:44:57",-77.6471659,43.1781573,0.07770136,20
"nnziInMDTH","2022-03-13 23:00:14",-78.1879703,43.0159961,0,1899.999
"nnziInMDTH","2022-03-12 10:23:04",-78.8647169,42.9842445,0.0029765358,4.422
"nnziInMDTH","2022-03-11 23:51:15",-78.8647308,42.9840847,0,16.456
"nnziInMDTH","2022-03-13 11:44:10",-77.5657492,43.1884502,0,15.206
"nnziInMDTH","2022-03-12 15:08:01",-77.56557,43.1884589,0,37.081
"nnziInMDTH","2022-03-12 03:20:31",-78.864738,42.9841021,0,17.06
"nnziInMDTH","2022-03-13 16:52:59",-77.6471661,43.1781575,0,20
"nnziInMDTH","2022-03-12 14:04:25",-77.565748,43.1884561,0,26.057
"nnziInMDTH","2022-03-12 12:02:20",-77.7711345,43.1138189,0,2099.999
"nnziInMDTH","2022-03-12 22:20:35",-77.5657451,43.1885038,0,39.89
"nnziInMDTH","2022-03-13 10:10:46",-77.5656483,43.1884584,0,40.528
"nnziInMDTH","2022-03-12 21:59:24",-77.5656724,43.1885492,0,46.6
"nnziInMDTH","2022-03-13 12:08:43",-77.5656993,43.1884984,0,36.283
"nnziInMDTH","2022-03-12 22:08:35",-77.5657451,43.1885038,0,39.89
"nnziInMDTH","2022-03-14 01:20:57",-78.8647318,42.9841141,0,14.451
"nnziInMDTH","2022-03-13 20:34:47",-77.6471659,43.1781589,0,20
"nnziInMDTH","2022-03-13 21:55:15",-77.6471642,43.1781586,0,20
"nnziInMDTH","2022-03-13 12:51:23",-77.5654165,43.1884275,0,29.179
"nnziInMDTH","2022-03-12 18:24:40",-77.5656749,43.1885508,0,41.432
"nnziInMDTH","2022-03-11 19:55:27",-78.8647758,42.9841009,0,17.35
"nnziInMDTH","2022-03-12 19:21:18",-77.5657252,43.1884049,0,36.125
"nnziInMDTH","2022-03-12 21:01:47",-77.5657449,43.1884933,0,40.434
"nnziInMDTH","2022-03-12 20:04:10",-77.5656628,43.1884465,0,41.844
"nnziInMDTH","2022-03-13 23:12:45",-78.5368031,42.9678715,0,2299.999
"nnziInMDTH","2022-03-13 12:21:33",-77.5654757,43.1882742,0.006157757,3.763
"nnziInMDTH","2022-03-11 14:24:31",-78.7882897,43.0003521,0,15.087
"nnziInMDTH","2022-03-12 08:05:18",-78.8647301,42.9840967,0,16.621
"nnziInMDTH","2022-03-12 03:35:42",-78.864738,42.9841021,0,17.06
"nnziInMDTH","2022-03-14 00:10:44",-78.8647787,42.9841222,0,15.265
"nnziInMDTH","2022-03-12 11:17:30",-78.6497274,42.9467702,0,1758.871
"nnziInMDTH","2022-03-13 19:26:21",-77.647166,43.1781585,0,20
"nnziInMDTH","2022-03-11 17:20:11",-78.8647617,42.9840876,0,14.867
"nnziInMDTH","2022-03-12 11:09:20",-78.7867645,42.97945,0,354.153
"nnziInMDTH","2022-03-14 01:27:01",-78.8647318,42.9841141,0,14.451
"nnziInMDTH","2022-03-12 01:31:22",-78.8647325,42.9840782,0,15.446
"nnziInMDTH","2022-03-11 17:37:24",-78.8607781,42.9841969,0,72.9
"nnziInMDTH","2022-03-13 11:01:14",-77.56573,43.1884994,0,42.968
"nnziInMDTH","2022-03-11 15:52:49",-78.8647224,42.9841101,0,15.251
"nnziInMDTH","2022-03-14 01:18:57",-78.8647318,42.9841141,0,14.451
"nnziInMDTH","2022-03-13 18:37:51",-77.6471671,43.1781641,0,20
"nnziInMDTH","2022-03-11 14:14:31",-78.7882897,43.0003521,0,15.087
"nnziInMDTH","2022-03-13 10:16:10",-77.5656483,43.1884584,0,40.528
"nnziInMDTH","2022-03-14 00:05:00",-78.8647787,42.9841222,0,15.265
"nnziInMDTH","2022-03-11 18:55:10",-78.8647444,42.9841184,0,16.958
"nnziInMDTH","2022-03-13 21:38:26",-77.6471672,43.1781611,0,20
"nnziInMDTH","2022-03-13 10:51:32",-77.56573,43.1884994,0,42.968
"nnziInMDTH","2022-03-13 18:13:07",-77.6471692,43.1781602,0,20
"nnziInMDTH","2022-03-12 12:31:48",-77.5657194,43.188448,0,39.532
"nnziInMDTH","2022-03-11 15:37:15",-78.7835424,43.0088594,0,15.959
"nnziInMDTH","2022-03-12 11:29:20",-78.4050182,43.0045571,0,2799.999
"nnziInMDTH","2022-03-13 13:15:38",-77.5657554,43.1884741,0,37.669
"nnziInMDTH","2022-03-11 17:54:36",-78.8647392,42.98425,0.21997276,3.9
"nnziInMDTH","2022-03-13 00:30:08",-77.5656867,43.1885072,0,38.469
"nnziInMDTH","2022-03-12 20:31:59",-77.5657341,43.1884485,0,27.296
"nnziInMDTH","2022-03-12 20:37:59",-77.5657341,43.1884485,0,27.296
"nnziInMDTH","2022-03-13 22:49:07",-78.1149269,43.0173392,0,2599.999
"nnziInMDTH","2022-03-13 21:35:25",-77.6471672,43.1781611,0,20
"nnziInMDTH","2022-03-11 19:46:14",-78.8647758,42.9841009,0,17.35
"nnziInMDTH","2022-03-11 15:52:11",-78.8561353,42.9837976,0,800
"nnziInMDTH","2022-03-12 19:52:08",-77.5654358,43.1884337,0,43.244
"nnziInMDTH","2022-03-12 11:53:20",-77.8040256,43.1027308,0,2400
